08-Dec-22 23:47:26 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:33:48 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:33:48 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:35:24 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:35:24 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:35:24 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:36:13 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:36:13 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:36:13 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:36:23 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:36:23 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:36:23 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:36:53 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:36:53 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:36:53 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:39:48 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:39:48 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:39:48 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:40:24 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:40:24 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:40:24 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:40:46 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:40:46 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:40:46 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:41:39 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:41:39 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:41:39 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:42:25 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:42:25 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:42:25 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:42:39 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:42:39 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:42:39 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:42:51 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:42:51 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:42:51 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:44:00 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:44:00 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:44:00 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:44:33 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:44:33 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:44:33 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:44:40 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:44:40 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:44:40 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:45:16 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:45:16 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:45:16 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:46:37 - INFO - Function: func ((4, 4, 4)) executed and returned: 6
09-Dec-22 00:46:37 - INFO - Function: func ({'a': 1, 'b': 2, 'c': 3}) executed and returned: 5
09-Dec-22 00:46:37 - INFO - Function: func ((2, 3){'afg': 4, 'num': 9}) executed and returned: 7
09-Dec-22 00:46:37 - INFO - Function: times2 ((2,)) executed and returned: 4
09-Dec-22 00:46:37 - INFO - Function: first_letter (('Hello World',)) executed and returned: H
